symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,170.0,171.42,169.6,169.71,56940474
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,170.57,171.94,169.45,170.85,54288300
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,171.76,173.05,170.06,172.28,71106600
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,177.05,177.49,170.84,171.37,106181300
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,175.72,178.67,175.09,178.67,53423100
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,174.34,176.61,173.03,176.08,55215200
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,175.57,177.71,173.52,173.72,75604200
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,171.17,172.62,170.29,172.62,121664700
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,172.91,174.31,172.05,173.0,72913500
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,172.77,173.19,170.76,171.13,52488700
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,173.15,174.03,171.01,173.23,59825400
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,172.94,174.38,172.05,172.75,60139500
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,169.0,173.7,168.94,170.73,76114600
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,169.15,170.73,168.49,169.0,71765100
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,171.06,171.24,168.68,169.12,68587700
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,170.76,172.04,169.62,170.12,95132400
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,176.15,176.9,173.79,175.1,81510100
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,179.55,180.53,177.38,179.66,73488000
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,181.27,182.57,179.53,180.75,136682600
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,182.51,183.12,180.13,181.42,48953900
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,181.1,183.92,179.56,182.63,54318900
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,182.24,182.76,180.65,181.16,40867400
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,185.01,185.04,182.23,182.52,45119700
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,183.48,184.96,182.46,184.37,52292200
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,181.94,182.89,180.66,182.32,41529700
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,181.79,182.43,180.0,181.56,53665600
